기간,구분1,호선,구분3,운행노선및구간,영업거리(㎞),역수,평일운행회수,수송인원(천명),수송인원(천명).1,RH혼잡도(%),착공일,개통일
기간,구분1,구분2,구분3,운행노선및구간,영업거리(㎞),역수,평일운행회수,연간총수송인원,1일평균,RH혼잡도(%),착공일,개통일
2020,전체,전체,전체,10개노선,357.6,331,"4,044","2,127,219","5,825",-,-,-
2020,서울교통공사,계,계,계,306,280,"3,089","1,934,464","5,297",113,-,-
2020,서울교통공사,1호선,1호선,서울역~청량리,8,10,86,"115,584",316,81,'71.04.12,'74.08.15
2020,서울교통공사,2호선,소계,순환및2지선,60.2,50,954,"577,744","1,579",128,-,-
2020,서울교통공사,2호선,순환,성수~성수,48.8,43,524,"565,232","1,545",128,'78.03.09,'80.10.31
2020,서울교통공사,2호선,지선(1),신설동~성수,5.4,4,218,"4,221",11,61,'78.03.09,'80.10.31
2020,서울교통공사,2호선,지선(2),신도림~까치산,6,3,212,"8,291",23,103,'87.04.08,'92.05.22
2020,서울교통공사,3호선,3호선,지축~오금,38.2,34,272,"235,105",642,111,'80.02.29,'85.07.12
2020,서울교통공사,4호선,4호선,당고개~남태령,31.7,26,307,"222,536",608,131,'80.02.29,'85.04.20
2020,서울교통공사,5호선,5호선,방화~하남풍산/마천,56.9,53,438,"258,551",718,100,'90.06.27,'95.11.15
2020,서울교통공사,6호선,6호선,응암~신내역,36.4,39,330,"148,148",405,87,'94.01.08,'00.08.07
2020,서울교통공사,7호선,7호선,장암~부평구청,57.1,51,420,"289,974",792,134,'90.12.28,'96.10.11
2020,서울교통공사,8호선,8호선,암사~모란,17.7,17,282,"86,820",237,134,'90.12.29,'96.11.23
2020,서울시메트로9호선,계,계,계,40.6,38,439,"171,634",470,67(124),-,-
2020,서울시메트로9호선,1단계,1단계,개화~신논현,27,25,354,"131,231",359,-,'01.12.31,'09.07.24
2020,서울시메트로9호선,2단계,2단계,언주~종합운동장,4.5,5,85,"21,542",59,-,'08.05.31,'15.03.28
2020,서울시메트로9호선,3단계,3단계,삼전~중앙보훈병원,9.1,8,…,"18,861",52,-,-,'18.12.01
2020,우이신설도시철도,우이신설도시철도,우이신설도시철도,우이동~신설동,11,13,516,"21,121",58,125,'09.09.15,'17.09.02
