역명,호선,측정일시,초미세먼지(내부),운행횟수,자치구,초미세먼지(외부)
동대문(1),1호선,2021042700,65.3,86.0,종로구,17.0
종각(1),1호선,2021042700,64.3,86.0,종로구,17.0
종로3가(1),1호선,2021042700,50.5,86.0,종로구,17.0
종로5가(1),1호선,2021042700,95.6,86.0,종로구,17.0
경복궁(3),3호선,2021042700,22.7,272.0,종로구,17.0
안국(3),3호선,2021042700,17.3,272.0,종로구,17.0
종로3가(3),3호선,2021042700,22.1,272.0,종로구,17.0
동대문(4),4호선,2021042700,23.1,307.0,종로구,17.0
혜화(4),4호선,2021042700,25.0,307.0,종로구,17.0
광화문(5),5호선,2021042700,36.8,438.0,종로구,17.0
서대문(5),5호선,2021042700,33.2,438.0,종로구,17.0
종로3가(5),5호선,2021042700,19.8,438.0,종로구,17.0
동묘앞(6),6호선,2021042700,11.6,330.0,종로구,17.0
창신(6),6호선,2021042700,31.8,330.0,종로구,17.0
동대문(1),1호선,2021042701,33.7,86.0,종로구,17.0
종각(1),1호선,2021042701,51.7,86.0,종로구,17.0
종로3가(1),1호선,2021042701,28.6,86.0,종로구,17.0
종로5가(1),1호선,2021042701,81.1,86.0,종로구,17.0
경복궁(3),3호선,2021042701,22.0,272.0,종로구,17.0
안국(3),3호선,2021042701,15.8,272.0,종로구,17.0
종로3가(3),3호선,2021042701,34.5,272.0,종로구,17.0
동대문(4),4호선,2021042701,21.7,307.0,종로구,17.0
혜화(4),4호선,2021042701,18.0,307.0,종로구,17.0
광화문(5),5호선,2021042701,20.6,438.0,종로구,17.0
서대문(5),5호선,2021042701,28.8,438.0,종로구,17.0
종로3가(5),5호선,2021042701,20.1,438.0,종로구,17.0
동묘앞(6),6호선,2021042701,8.8,330.0,종로구,17.0
창신(6),6호선,2021042701,20.8,330.0,종로구,17.0
동대문(1),1호선,2021042702,24.4,86.0,종로구,17.0
종각(1),1호선,2021042702,69.8,86.0,종로구,17.0
종로3가(1),1호선,2021042702,14.4,86.0,종로구,17.0
종로5가(1),1호선,2021042702,46.3,86.0,종로구,17.0
경복궁(3),3호선,2021042702,21.6,272.0,종로구,17.0
안국(3),3호선,2021042702,20.0,272.0,종로구,17.0
종로3가(3),3호선,2021042702,25.3,272.0,종로구,17.0
동대문(4),4호선,2021042702,31.8,307.0,종로구,17.0
혜화(4),4호선,2021042702,20.2,307.0,종로구,17.0
광화문(5),5호선,2021042702,21.2,438.0,종로구,17.0
서대문(5),5호선,2021042702,16.9,438.0,종로구,17.0
종로3가(5),5호선,2021042702,26.9,438.0,종로구,17.0
동묘앞(6),6호선,2021042702,9.3,330.0,종로구,17.0
창신(6),6호선,2021042702,16.3,330.0,종로구,17.0
동대문(1),1호선,2021042703,19.1,86.0,종로구,16.0
종각(1),1호선,2021042703,49.6,86.0,종로구,16.0
종로3가(1),1호선,2021042703,15.5,86.0,종로구,16.0
종로5가(1),1호선,2021042703,65.8,86.0,종로구,16.0
경복궁(3),3호선,2021042703,13.7,272.0,종로구,16.0
안국(3),3호선,2021042703,21.4,272.0,종로구,16.0
종로3가(3),3호선,2021042703,25.4,272.0,종로구,16.0
동대문(4),4호선,2021042703,38.1,307.0,종로구,16.0
혜화(4),4호선,2021042703,17.6,307.0,종로구,16.0
광화문(5),5호선,2021042703,19.4,438.0,종로구,16.0
서대문(5),5호선,2021042703,18.8,438.0,종로구,16.0
종로3가(5),5호선,2021042703,20.3,438.0,종로구,16.0
동묘앞(6),6호선,2021042703,10.9,330.0,종로구,16.0
창신(6),6호선,2021042703,14.0,330.0,종로구,16.0
동대문(1),1호선,2021042704,18.5,86.0,종로구,17.0
종각(1),1호선,2021042704,40.2,86.0,종로구,17.0
종로3가(1),1호선,2021042704,22.6,86.0,종로구,17.0
종로5가(1),1호선,2021042704,58.0,86.0,종로구,17.0
경복궁(3),3호선,2021042704,14.0,272.0,종로구,17.0
안국(3),3호선,2021042704,18.1,272.0,종로구,17.0
종로3가(3),3호선,2021042704,28.8,272.0,종로구,17.0
동대문(4),4호선,2021042704,34.4,307.0,종로구,17.0
혜화(4),4호선,2021042704,18.7,307.0,종로구,17.0
광화문(5),5호선,2021042704,19.6,438.0,종로구,17.0
서대문(5),5호선,2021042704,19.4,438.0,종로구,17.0
종로3가(5),5호선,2021042704,18.0,438.0,종로구,17.0
동묘앞(6),6호선,2021042704,10.8,330.0,종로구,17.0
창신(6),6호선,2021042704,12.9,330.0,종로구,17.0
동대문(1),1호선,2021042705,18.4,86.0,종로구,18.0
종각(1),1호선,2021042705,33.0,86.0,종로구,18.0
종로3가(1),1호선,2021042705,17.6,86.0,종로구,18.0
종로5가(1),1호선,2021042705,44.3,86.0,종로구,18.0
경복궁(3),3호선,2021042705,13.6,272.0,종로구,18.0
안국(3),3호선,2021042705,12.8,272.0,종로구,18.0
종로3가(3),3호선,2021042705,22.7,272.0,종로구,18.0
동대문(4),4호선,2021042705,25.9,307.0,종로구,18.0
혜화(4),4호선,2021042705,16.1,307.0,종로구,18.0
광화문(5),5호선,2021042705,17.3,438.0,종로구,18.0
서대문(5),5호선,2021042705,16.3,438.0,종로구,18.0
종로3가(5),5호선,2021042705,18.4,438.0,종로구,18.0
동묘앞(6),6호선,2021042705,10.6,330.0,종로구,18.0
창신(6),6호선,2021042705,14.5,330.0,종로구,18.0
동대문(1),1호선,2021042706,61.4,86.0,종로구,15.0
종각(1),1호선,2021042706,68.6,86.0,종로구,15.0
종로3가(1),1호선,2021042706,14.5,86.0,종로구,15.0
